pub-uid	pub-full	abstract	key-au	key-pub
10.1002_jcla.21558	Rapid Genotypic Detection of rpoB and katG Gene Mutations in Mycobacterium tuberculosis Clinical Isolates from Northern India as Determined by MAS-PCR	BackgroundThere is a growing need to develop rapid laboratory research methods to counter the menace of drug resistant tuberculosis (MDR-TB) cases worldwide especially in developing countries. The present study was undertaken to investigate the type and frequency of rpoB and katG mutations in rifampicin (RIF) and isoniazid (INH) resistant strains respectively of Mycobacterium tuberculosis (MTB) circulating in Northern India and to explore the utility of multiplex-allele-specific (MAS)-PCR assay for detection of drug-resistant MTB isolates in low resource set up. J. Clin. Lab. Anal. 27:31-37, 2013. (c) 2012 Wiley Periodicals, Inc. MethodsPhenotypic and genotypic drug susceptibility testing (DST) was performed on 354 MTB isolates. ResultsMutation in rpoB gene was found most frequently at codons 531, 526 and 516 (59.83%, 45.29% and 22.22%, respectively). Further, combinations of 2-3 point mutations were also observed in 19.66% of RIF-resistant MTB strains. The frequency of mutations in katG gene was found at codon 315 among 82.95% of the INH-resistant MTB isolates. MAS-PCR detected rpoB and katG mutations in phenotypically resistant isolates with sensitivities of 93% and 83% respectively. ConclusionMAS-PCR assays can be used for rapid detection of drug-resistant TB strains in routine diagnostic practice, enabling early administration of appropriate treatment regimens to the affected patients.	Drug-resistant TB; rifamipicin; isoniazid; point mutation; sensitivity	ISONIAZID-RESISTANT; DRUG SENSITIVITY; MTBDR ASSAY; STRAINS; RIFAMPICIN
10.1159_000348374	Impact of Diabetes on Treatment Outcomes and Long-Term Survival in Multidrug-Resistant Tuberculosis	Background: Few studies have investigated the impact of diabetes mellitus (DM), a globally increasing metabolic disease, on treatment outcomes and long-term survival in patients with multidrug-resistant forms of tuberculosis (MDR-TB). Objectives: We analyzed outcomes in a large cohort to assess the impact of DM on treatment outcomes of patients with MDR-TB. Methods: MDR-TB patients newly diagnosed or retreated between 2000 and 2002 and followed for 8-11 years were retrospectively analyzed with respect to the effect of DM as a comorbidity on their treatment outcome and long-term survival. Results: Of 1,407 patients with MDR-TB, 239 (17.0%) had coexisting DM. The mean age and body mass index were higher in MDR-TB patients with DM [MDRTBDM(+)] than in those without DM [MDR-TBDM(-)]. Patients with MDR-TB and a comorbidity of DM had a significantly lower treatment success rate than those without a history of DM (36.0 vs. 47.2%, p = 0.002). In addition, DM was the negative predictor for MDR-TB treatment success in multivariate analyses [odds ratio 0.51, 95% confidence interval (CI) 0.26-0.99]. Mean survival times were also lower in MDR-TBDM(+) than in MDR-TBDM(-) patients (102 vs. 114 months, p = 0.001), with DM as a significant predictor of poor long-term survival in multivariate analyses (hazard ratio 1.59, 95% CI 1.01-2.50). Conclusions: Among MDR-TB patients, DM was a relatively common comorbidity. In patients undergoing treatment for MDR-TB and followed for 8-11 years, it was found to be independently associated with an increased risk of both treatment failure and death. Copyright (C) 2013 S. Karger AG, Basel	Diabetes mellitus; Multidrug-resistant tuberculosis; Treatment; Outcome; Survival	PULMONARY TUBERCULOSIS; MELLITUS; MANIFESTATIONS; EXPRESSION; TB
10.7754_Clin.Lab.2012.120618	Evaluation of Rezasurin Microtiter Assay and High Resolution Melting Curve Analysis for Detection of Rifampicin and Isoniazid Resistance of Mycobacterium tuberculosis Clinical Isolates	Background: Several methods have been proposed for rapid detection of drug resistance of Mycobacterium tuberculosis (M. tuberculosis). High resolution melting (HRM) curve analysis has been developed for accurate and simultaneous detection of resistance of M. tuberculosis isolates to rifampicin (RIF) and isoniazid (INH). Other techniques include the resazurin microtiter assay (REMA) which is one of the new colorimetric phenotypic methods. The present study evaluated the HRM curve analysis and REMA assay in comparison to the proportional method (PM) for rapid identification of multidrug resistant (MDR) M. tuberculosis isolates. Methods: Thirty M. tuberculosis clinical isolates of known resistance phenotypes were used. An HRM curve was generated for each isolate to scan for mutations in the rpoB and katG genes to detect REF and INH resistance, respectively. The REMA colorimetric assay was also evaluated using the same isolates. The results of both techniques were compared to the gold standard proportional method. Results: The sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV), and accuracy of the REMA assay for RIF and INH susceptibility testing were 100%. The HRM curve assay results for RIF susceptibility testing were 92.3%, 100%, 100%, 94.4%, and 96.7%, respectively, and for INH they were 85%, 100%, 100%, 76.9%, and 90%, respectively. Conclusions: REMA is a rapid non-conventional and inexpensive method and may serve as a replacement for the proportion method in resource limited settings, while the PPV and NPV of the HRM curve make this assay an ideal screening method for the TB laboratory.	TB; MDR-TB; REMA; HRM curve	RAPID DETECTION; SUSCEPTIBILITY
10.1155_2013_167954	Mutations in the embB Gene and Their Association with Ethambutol Resistance in Multidrug-Resistant Mycobacterium tuberculosis Clinical Isolates from Poland	"Ethambutol (EMB) continues to be used as part of a standard drug regimen for the treatment of tuberculosis (TB). Mutations in the embB gene and those within its conserved EMB resistance determining region (ERDR) in particular have repeatedly been associated with resistance to EMB in Mycobacterium tuberculosis. The aim of this study was to examine the mutational ""hot spots"" in the embB gene, including the ERDR, among multidrug-resistant (MDR) M. tuberculosis clinical isolates and to find a possible association between embB mutations and resistance to EMB. An 863-bp fragment of the embB gene was sequenced in 17 EMB-resistant and 33 EMB-susceptible MDR-TB isolates. In total, eight embB mutation types were detected in 6 distinct codons of 27 (54%) M. tuberculosis isolates. Mutations in codon 306 were most common, found in both EMB-resistant (9) and EMB-susceptible (11) isolates. Only mutations in codons 406 and 507 were found exclusively in four and one EMB-resistant isolates, respectively. Sequence analysis of the ERDR in the embB gene is not sufficient for rapid detection of EMB resistance, and the codon 306 mutations are not good predictive markers of resistance to EMB."		DRUG-RESISTANCE; MOLECULAR CHARACTERIZATION; CHINA; SUSCEPTIBILITY; CODON-306; STRAINS; KOREA
10.7150_ijms.6806	Magnitude of Gene Mutations Conferring Drug Resistance in Mycobacterium Tuberculosis Isolates from Lymph Node Aspirates in Ethiopia	Objective: Resistance to drugs is due to particular genomic mutations in the specific genes of Mycobacterium tuberculosis. Timely genetic characterization will allow identification of resistance mutations that will optimize an effective antibiotic treatment regimen. We determine the magnitude of gene mutations conferring resistance to isoniazid (INH), rifampicin (RMP) and ethambutol (EMB) among tuberculosis (TB) lymphadenitis patients. Methods: A cross sectional prospective study was conducted among 226 M. tuberculosis isolates from culture positive lymph node aspirates collected from TB lymphadenitis patients between April 2012 and May 2012. Detection of mutations conferring resistance to drugs was carried out using GenoType (R) MTBDRplus and GenoType (R) MTBDRsl assay. Results: Out of the 226 strains, mutations conferring resistance to INH, RMP, multidrug resistance tuberculosis (MDR-TB) and EMB were 8, 3, 2 and 2 isolates, respectively. There was no isolated strain that showed mutation in the inhA promoter region gene. All INH resistant strains had mutations in the katG gene at codon 315 with amino acid change of S315T1. Among rifampicin resistant strains, two isolates displayed mutations at codon 531 in the rpoB gene with amino acid change of S531L and one isolate was by omission of wild type probes at Q513L. According to mutations associated with ethambutol resistance, all of the isolates had mutations in the embB gene with aminoacid change of M306I. All isolates resistant to INH, RMP and MDR using BacT/AlerT 3D system were correctly identified by GenoType (R) MTBDRplus assay. Conclusion: We observed mutations conferring resistance to INH at S315T1 of the katG gene, RMP at S531L and Q513L in the rpoB genes and EMB at M306I of the embB gene. In the absence of conventional drug susceptibility testing, the effort to develop easy, rapid and cost effective molecular assays for drug resistance TB monitoring is definitely desirable and the GenoType (R) MTBDRplus assay was found to be a useful method for diagnosis of resistance to INH, RMP and MDR from lymph node aspirates. Further molecular cluster analysis to determine transmission dynamics of mutated strain is required.	Isoniazid; Rifampicin; Ethambutol; Mutation; M. tuberculosis; aspirates; Ethiopia	MOLECULAR CHARACTERIZATION; GENOTYPE(R) MTBDRPLUS; RPOB GENE; RIFAMPIN; STRAINS; ASSAY; SPECIMENS; VIETNAM
10.4103_0255_0857.108720	Changing patterns and trends of multidrug-resistant tuberculosis at referral centre in Northern India: A 4-year experience	Purpose: India has a high burden of drug-resistant tuberculosis (TB), although there is little data on multidrug-resistant tuberculosis (MDR-TB). Although MDR-TB has existed for long time in India, very few diagnostic laboratories are well-equipped to test drug sensitivity. The objectives of this study were to determine the prevalence of MDR-TB, first-line drug resistance patterns and its changing trends in northern India in the 4 years. Materials and Methods: This was a prospective study from July 2007 to December 2010. Microscopy, culture by Bactec460 and p-nitro-alpha-acety lamino-beta-hydroxypropiophenone (NAP) test was performed to isolate and identify Mycobacterium tuberculosis (M. tb) complex (MTBC). Drug sensitivity testing (DST) was performed by 1% proportional method (Bactec460) for four drugs: Rifampicin, isoniazid, ethambutol and streptomycin. Various clinical and demographical profiles were evaluated to analyse risk factors for development of drug resistance. Results: We found the overall prevalence rate of MDR-TB to be 38.8%, increasing from 36.4% in 2007 to 40.8% in 2010. we found that the prevalence of MDR-TB in new and previously treated cases was 29.1% and 43.3% (P < 0.05; CI 95%). The increasing trend of MDR-TB was more likely in pulmonary TB when compared with extra-pulmonary TB (P < 0.05; CI 95%). Conclusions: we found a high prevalence (38.8%) of MDR-TB both in new cases (29.1%) and previously treated cases (43.3%). This study strongly highlights the need to make strategies for testing, surveillance, monitoring and management of such drug-resistant cases.	Anti-tubercular therapy; multidrug-resistance tuberculosis; Mycobacterium tuberculosis complex; tuberculosis	ANTITUBERCULOSIS-DRUG-RESISTANCE; MYCOBACTERIUM-TUBERCULOSIS
pub-1072	Association between embB mutations and ethambutol resistance in Mycobacterium tuberculosis isolates from Cuba and the Dominican Republic: reproducible patterns and problems	The relation of ethambutol resistance to embB mutations remains unclear, and there are no reports on ethambutol resistance from the Caribbean. We examined the sequence of embB in 57 distinct Multi-Drug Resistant (MDR) and non-MDR strains of Mycobacterium tuberculosis, mostly from Cuba and the Dominican Republic. embB306 codon mutations Were found exclusively in MDR-TB, but in both ethambutol sensitive and resistant strains. Valine substitutions predominated in ethambutol resistant strains, while isoleucine replacements were more common in sensitive strains. Three ethambutol resistant MDR strains without embB306 substitutions had replacements in embB406 or embB497, but these were also found in ethambutol sensitive MDR strains. The results confirm previous findings that amino acid substitutions in EmbB306, EmbB406 and EmbB497 are found only in MDR-TB strains but in both phenotypically resistant and sensitive strains. One ethambutol resistant non-MDR strain did not have any embB mutation suggesting that other undefined mutations can also confer ethambutol resistance.	Mycobacterium tuberculosis; ethambutol resistance; multidrug resistance; embB mutations; drug sensitivity testing	CODON 306; SUSCEPTIBILITY; STRAINS; CLUSTER
10.1016_j.tube.2012.10.013	Rifampicin-induced transcriptome response in rifampicin-resistant Mycobacterium tuberculosis	Tuberculosis (TB) is still a major life-threatening infectious disease, within which especially the rise of multidrug resistant TB (MDR-TB) is currently worrying. This study focuses on mechanisms of development of rifampicin resistance, since rifampicin seems to play an important role in the development of MDR-TB. To provide further insight in rifampicin resistance, we performed a genome-wide transcriptional profile analysis for Mycobacterium tuberculosis (M. tuberculosis) using microarray technology and qRT-PCR analysis. We exposed a rifampicin-susceptible H37Rv wild type (H37Rv-WT) and a rifampicin-resistant progeny H37Rv strain with a H526Y mutation in the rpoB gene (H37Rv-H526Y) to several concentrations of rifampicin, to define the effect of rifampicin on the transcription profile. Our study showed that there are resistance-dependant differences in response between both M. tuberculosis strains. Gene clusters associated with efflux, transport and virulence were altered in the rifampicin-resistant H37Rv mutant compared to the rifampicin-susceptible H37Rv-WT strain after exposure to rifampicin. We conclude that the small gene cluster Rv0559c-Rv0560c in the H37Rv-H526Y strain was remarkably up-regulated in the microarray analysis and qRT-PCR results and appeared to be dependent on rifampicin concentration and time of exposure. Therefore this study suggests that Rv0559c and Rv0560c play a pivotal role in rifampicin resistance of M. tuberculosis. Further investigation of Rv0559c and Rv0560c is needed to reveal function and mechanism of both genes that were triggered upon rifampicin exposure. (C) 2012 Elsevier Ltd. All rights reserved.	Rifampicin-resistance; Mycobacterium tuberculosis; Microarray analysis	DRUG-RESISTANCE; GENE-EXPRESSION; MICROARRAY ANALYSIS; CELL-WALL; EFFLUX; VIRULENCE; MUTATIONS; BIOSYNTHESIS; VALIDATION; SALICYLATE
10.1111_1348_0421.12000	Drug resistance and IS6110-RFLP patterns of Mycobacterium tuberculosis in patients with recurrent tuberculosis in northern Thailand	The emergence of drug resistant Mycobacterium tuberculosis has become a global threat to tuberculosis (TB) prevention and control efforts. This study aimed to determine the drug resistance profiles and DNA fingerprints of M. tuberculosis strains isolated from patients with relapsed or retreatment pulmonary TB in Chiang Rai province in northern Thailand. Significant differences in multidrug resistance (MDR) (P = 0.025) and resistance to isoniazid (P = 0.025) and rifampin (P = 0.046) between first and second registrations of patients with retreatment TB were found. However, there were no significant differences in resistance to any drugs in patients with relapsed TB. The rate of MDR-TB strains was 12.2% among new patients at first registration, 22.5% among patients with recurrence who had previously undergone treatment at second registration and 12.5% at third registration. Two retreatment patients whose initial treatment had failed had developed MDR-TB with resistance to all TB drugs tested, including rifampin, isoniazid, streptomycin and ethambutol. IS6110-RFLP analysis revealed that 66.7% (10/15 isolates) of MDR-TB belonged to the Beijing family. In most cases, IS6110-RFLP patterns of isolates from the same patients were identical in relapse and retreatment groups. However, some pairs of isolates from retreatment patients after treatment failure had non-identical IS6110-RFLP patterns. These results suggest that, after failure and default treatment, patients with retreatment tuberculosis have a significantly greater risk of MDR-TB, isoniazid and rifampin resistance than do other patients.	drug resistance; IS6110-restriction fragment length polymorphism patterns; recurrent tuberculosis	FRAGMENT-LENGTH-POLYMORPHISM; EXOGENOUS REINFECTION; MOLECULAR EPIDEMIOLOGY; RESTRICTION; INFECTION; EVOLUTION; OUTCOMES; RELAPSE; STRAIN
10.2471_BLT.12.104588	Multidrug-resistant tuberculosis in Belarus: the size of the problem and associated risk factors	Objective To assess the problem of multidrug-resistant tuberculosis (MDR-TB) throughout Belarus and investigate the associated risk factors. Methods In a nationwide survey in 2010-2011,1420 tuberculosis (TB) patients were screened and 934 new and 410 previously treated cases of TB were found to meet the inclusion criteria. Isolates of Mycobacterium tuberculosis from each eligible patient were tested for susceptibility to anti-TB drugs. Sociobehavioural information was gathered in interviews based on a structured questionnaire. Findings MDR-TB was found in 32.3% and 75.6% of the new and previously treated patients, respectively, and, 11.9% of the 612 patients found to have MDR-TB had extensively drug-resistant-TB (XDR-TB). A history of previous treatment for TB was the strongest independent risk factor for MDR-TB (odds ratio, OR: 6.1;95% confidence interval, CI:4.8-7.7).The other independent risk factors were human immunodeficiency virus (HIV) infection (OR: 2.2; 95% CI: 1.4-3.5), age <35 years (OR: 1.4; 95% CI: 1.0-1.8), history of imprisonment (OR: 1.5; 95% CI: 1.1-2.0), disability sufficient to prevent work (OR: 1.9; 95% CI: 1.2-3.0), alcohol abuse (OR: 1.3; 95% CI: 1.0-1.8) and smoking (OR: 1.5; 95% CI: 1.1-2.0). Conclusion MDR-TB is very common among TB patients throughout Belarus. The numerous risk factors identified for MDR-TB and the convergence of the epidemics of MDR-TB and HIV infection call not only for stronger collaboration between TB and HIV control programmes, but also for the implementation of innovative measures to accelerate the detection of TB resistance and improve treatment adherence.		ALCOHOL-USE DISORDERS; MYCOBACTERIUM-TUBERCULOSIS; DRUG-RESISTANCE; DETERMINANTS; MANAGEMENT; EPIDEMICS; UKRAINE; RUSSIA; EUROPE; HEALTH
10.1128_JCM.02513_12	Diagnostic Accuracy of the GenoType MTBDRsl Assay for Rapid Diagnosis of Extensively Drug-Resistant Tuberculosis in HIV-Coinfected Patients	The Russian Federation is a high-tuberculosis (TB)-burden country with high rates of Mycobacterium tuberculosis multidrug resistance (MDR) and extensive drug resistance (XDR), especially in HIV-coinfected patients. Rapid and reliable diagnosis for detection of resistance to second-line drugs is vital for adequate patient management. We evaluated the performance of the GenoType MTBDRsl (Hain Lifescience GmbH, Nehren, Germany) assay on smear-positive sputum specimens obtained from 90 HIV-infected MDR TB patients from Russia. Test interpretability was over 98%. Specificity was over 86% for all drugs, while sensitivity varied, being the highest (71.4%) for capreomycin and lowest (9.4%) for kanamycin, probably due to the presence of mutations in the eis gene. The sensitivity of detection of XDR TB was 13.6%, increasing to 42.9% if kanamycin (not commonly used in Western Europe) was excluded. The assay is a highly specific screening tool for XDR detection in direct specimens from HIV-coinfected TB patients but cannot be used to rule out XDR TB.		2ND-LINE ANTITUBERCULOSIS DRUGS; MYCOBACTERIUM-TUBERCULOSIS; PULMONARY TUBERCULOSIS; ETHAMBUTOL RESISTANCE; CLINICAL-SAMPLES; FEASIBILITY; PERFORMANCE; PREVALENCE; STRAINS; RUSSIA
10.5588_ijtld.12.0344	High risk of drug-resistant tuberculosis when first-line therapy fails in a high HIV prevalence setting	SETTING: Lesotho national multidrug-resistant tuberculosis (MDR-TB) program. OBJECTIVE: To determine the prevalence of drug-resistant TB (DR-TB) among patients registered for MDR-TB treatment after failure or suspected failure of the standard 6-month regimen for new TB patients (Category I). DESIGN: We conducted a retrospective cohort study of patients registered for MDR-TB treatment following failure or suspected failure of Category I. RESULTS: A total of 76 patients were included in the analysis, including 51 Category I treatment failures and 25 suspected Category I treatment failures. The prevalence of resistance to any drug was 92% among the treatment failures and 72% among the suspected failures. The proportion of MDR-TB was respectively 78% and 28% among the treatment failures and suspected failures. Among the subgroup of human immunodeficiency virus (HIV) positive patients, the proportion of MDR-TB was 84% among failures and 23% among suspected failures. CONCLUSION: DR-TB and MDR-TB were common among patients in whom Category I failed. Early initiation of empiric second-line anti-tuberculosis treatment while awaiting culture and drug susceptibility testing (DST) results should be considered for HIV-negative and -positive patients who have failed first-line anti-tuberculosis treatment; patients suspected to be failing a first-line regimen should undergo DST at the end of the intensive phase.	multidrug-resistant tuberculosis; drug resistance; treatment failure; HIV/AIDS	STANDARD RETREATMENT REGIMEN; SHORT-COURSE CHEMOTHERAPY; TREATMENT OUTCOMES; MYCOBACTERIUM-TUBERCULOSIS; MULTIDRUG-RESISTANCE; MDR-TB; CATEGORY; PROGRAMS; RELAPSE; AFRICA
10.5588_ijtld.12.0197	GenoType (R) MTBDRplus assay detection of drug-resistant tuberculosis in routine practice in Korea	SETTING: Korea is an intermediate-burden country with high rates of tuberculosis (TB) drug resistance. OBJECTIVE: To evaluate the performance of the GenoType (R) MTBDRplus (MTBDR) assay in diagnosing drug-resistant TB in routine practice in Korea. DESIGN: The MTBDR assay was performed on 428 samples, and the results were retrospectively compared with the results of conventional drug susceptibility testing (DST). The interval between treatment and diagnosis of drug resistance was also compared. RESULTS: The sensitivity, specificity and positive and negative predictive values of the MTBDR assay were respectively 96.6%, 98.9%, 93.4% and 99.5% for the detection of rifampicin (RMP) resistance; 93.8%, 98.3%, 92.7% and 98.6% for isoniazid (INH) resistance; and 91.1%, 99.2%, 99.4% and 98.7% for multidrug-resistant TB (MDR-TB). The median interval between the start of anti-tuberculosis chemotherapy and the reporting of results was 88.9 days for conventional DST and 19.8 days for MTBDR using clinical specimens. CONCLUSION: The specificity of the MTBDR assay in detecting MDR-TB was very high, although the sensitivity in detecting INH resistance and MDR-TB was not optimal (<95%). Although the turnaround time in detecting drug resistance was dramatically reduced with MTBDR compared to conventional DST, more effort is needed to shorten the turnaround time.	tuberculosis; multidrug-resistant; sensitivity and specificity; line-probe assay	MYCOBACTERIUM-TUBERCULOSIS; RIFAMPIN; SPECIMENS
10.1093_bioinformatics_bts641	MycPermCheck: the Mycobacterium tuberculosis permeability prediction tool for small molecules	Motivation: With >8 million new cases in 2010, particularly documented in developing countries, tuberculosis (TB) is still a highly present pandemic and often terminal. This is also due to the emergence of antibiotic-resistant strains (MDR-TB and XDR-TB) of the primary causative TB agent Mycobacterium tuberculosis (MTB). Efforts to develop new effective drugs against MTB are restrained by the unique and largely impermeable composition of the mycobacterial cell wall. Results: Based on a database of antimycobacterial substances (CDD TB), 3815 compounds were classified as active and thus permeable. A data mining approach was conducted to gather the physico-chemical similarities of these substances and delimit them from a generic dataset of drug-like molecules. On the basis of the differences in these datasets, a regression model was generated and implemented into the online tool MycPermCheck to predict the permeability probability of small organic compounds. Discussion: Given the current lack of precise molecular criteria determining mycobacterial permeability, MycPermCheck represents an unprecedented prediction tool intended to support antimycobacterial drug discovery. It follows a novel knowledge-driven approach to estimate the permeability probability of small organic compounds. As such, MycPermCheck can be used intuitively as an additional selection criterion for potential new inhibitors against MTB. Based on the validation results, its performance is expected to be of high practical value for virtual screening purposes.		CARRIER PROTEIN REDUCTASE; CELL-WALL; DRUG DISCOVERY; INHIBITORS; NETWORKS; PACKAGE; INHA
10.1111_tmi.12018	Costs of inpatient treatment for multi-drug-resistant tuberculosis in South Africa	Background In South Africa, patients with multi-drug-resistant tuberculosis (MDR-TB) are hospitalised from MDR-TB treatment initiation until culture conversion. Although MDR-TB accounts for <3% of incident TB in South Africa, 55% of the public sector TB budget is spent on MDR-TB. To inform new strategies for MDR-TB management, we estimated the per-patient cost (USD 2011) of inpatient MDR-TB treatment. Methods All resources used by patients admitted to the MDR-TB hospital with confirmed MDR-TB from March 2009 to February 2010 were abstracted from patient records for up to 12 months after initial admission or until the earliest of final discharge, abscondment or death. Costs of hospital stay/day were estimated from hospital expenditure records and costs for drugs, laboratory tests, radiography and surgery from public sector sources. 133 patients met study inclusion criteria of whom 121 had complete cost records. Results By 12 months, 86% were discharged with culture conversion, 8% died in hospital, 2% were still admitted, and 3% had absconded. The mean hospital stay was 105 days. The mean total cost per patient was $17 164, of which 95% were hospitalisation costs (buildings, staff, etc.) and = 2% each for MDR-TB drugs ($380); TB laboratory tests, including drug susceptibility testing ($236); and other costs. Conclusions The inpatient cost per patient treated for MDR-TB is more than 40 times the cost of treating drug-susceptible TB in South Africa. There is potential for substantial cost savings from improved management of drug-susceptible TB and shifting to a model of decentralised, outpatient MDR-treatment.	multi-drug-resistant; tuberculosis; cost; South Africa; hospitalisation	
10.1093_jac_dks371	From multidrug-resistant to extensively drug-resistant tuberculosis in Lisbon, Portugal: the stepwise mode of resistance acquisition	The development and transmission of extensively drug-resistant (XDR) tuberculosis (TB) constitutes a serious threat to the effective control of TB in several countries. Here, in an attempt to further elucidate the dynamics of the acquisition of resistance to second-line drugs and investigate an eventual role for eis promoter mutations in aminoglycoside resistance, we have studied a set of multidrug-resistant (MDR)/XDR-TB isolates circulating in Lisbon, Portugal. Forty-four MDR-TB or XDR-TB isolates were genotyped and screened for mutations in genes associated with second-line drug resistance, namely tlyA, gyrA, rrs and eis. The most prevalent mutations found in each gene were Ins755GT in tlyA, A1401G in rrs, G-10A in eis and S91P in gyrA. Additionally, two genetic clusters were found in this study: Lisboa3 and Q1. The characteristic mutational profile found among recent XDR-TB circulating in Lisbon was also found in MDR-TB strains isolated in the 1990s. Also investigated was the resistance level conferred by eis G-10A mutations, revealing that eis G-10A mutations may result in amikacin resistance undetectable by widely used phenotypic assays. The analysis of the distribution of the mutations found by genetic clustering showed that in the Q1 cluster, two mutations, gyrA D94A and rrs A1401G, were enough to ensure development of XDR-TB from an MDR strain. Moreover, in the Lisboa3 cluster it was possible to elaborate a model in which the development of low-level kanamycin resistance was at the origin of the emergence of XDR-TB strains that can be discriminated by tlyA mutations.	Lisboa family; kanamycin; amikacin; cross-resistance	MULTICENTER LABORATORY VALIDATION; MYCOBACTERIUM-TUBERCULOSIS; ACETYLTRANSFERASE EIS; 2ND-LINE DRUGS; MUTATION; STRAINS; SUSCEPTIBILITIES; CAPREOMYCIN; KANAMYCIN; ASSAY
10.1186_1471_2334_12_385	Characteristics of multidrug-resistant tuberculosis in Namibia	Background: To describe the epidemiology and possible risk factors for the development of multidrug-resistant tuberculosis (MDR-TB) in Namibia. Methods: Using medical records and patient questionnaires, we conducted a case-control study among patients diagnosed with TB between January 2007 and March 2009. Cases were defined as patients with laboratory-confirmed MDR-TB; controls had laboratory-confirmed drug-susceptible TB or were being treated with WHO Category I or Category II treatment regimens. Results: We enrolled 117 MDR-TB cases and 251 TB controls, of which 100% and 2% were laboratory-confirmed, respectively. Among cases, 97% (113/117) had been treated for TB before the current episode compared with 46% (115/251) of controls (odds ratio [OR] 28.7, 95% confidence interval [CI] 10.3-80.5). Cases were significantly more likely to have been previously hospitalized (OR 1.9, 95% CI 1.1-3.5) and to have had a household member with MDR-TB (OR 5.1, 95% CI 2.1-12.5). These associations remained significant when separately controlled for being currently hospitalized or HIV-infection. Conclusions: MDR-TB was associated with previous treatment for TB, previous hospitalization, and having had a household member with MDR-TB, suggesting that TB control practices have been inadequate. Strengthening basic TB control practices, including expanding laboratory confirmation, directly observed therapy, and infection control, are critical to the prevention of MDR-TB.		SOUTH-AFRICA; HIV-INFECTION; RISK-FACTORS; COHORT; UGANDA; STRAIN; KENYA
10.1186_1471_2334_12_369	Comparison between the BACTEC MGIT 960 system and the agar proportion method for susceptibility testing of multidrug resistant tuberculosis strains in a high burden setting of South Africa	Background: The increasing problem of multi-drug-resistant (MDR) tuberculosis (TB) [ie resistant to at least isoniazid (INH) and rifampicin (RIF)] is becoming a global problem. Successful treatment outcome for MDR-TB depends on reliable and accurate drug susceptibility testing of first-line and second-line anti-TB drugs. Method: Consecutive M. tuberculosis isolates identified as MDR-TB during August 2007 to January 2008 using the BACTEC MGIT 960 systems and the agar proportion method were included in this study. Susceptibility testing of MDR-TB isolates against ethambutol (EMB) and streptomycin (STR) as well as two second-line anti-TB drugs, kanamycin (KAN) and ofloxacin (OFX) was performed using the BACTEC MGIT 960 systems at a routine diagnostic laboratory. The results were compared to those obtained by the agar proportion method. Result: The agreement between the BACTEC MGIT 960 system and the agar proportion method was 44% for EMB, 61% for STR and 89% for both KAN and OFX. The sensitivity and specificity of the BACTEC MGIT 960 system using the agar proportion method as a gold standard was 92% and 37% for EMB, 95% and 37% for STR, 27% and 97% for KAN and 84% and 90% for OFX, respectively. Conclusions: The BACTEC MGIT 960 system showed acceptable sensitivity for EMB, STR, and OFX; however, the BACTEC MGIT 960 system was less specific for EMB and STR and demonstrated a low sensitivity for KAN. The lower agreement found between the two methods suggests the unreliability of the BACTEC MGIT 960 system for the drugs tested. The reasons for the lower agreement between the two methods need to be investigated and further studies are needed in this setting to confirm the study finding.	BACTEC MGIT 960; MDR-TB; TB; XDR-TB	GROWTH INDICATOR TUBE; QUALITY-ASSURANCE PROGRAM; MYCOBACTERIUM-TUBERCULOSIS; 2ND-LINE DRUGS; MULTICENTER EVALUATION; LABORATORY NETWORK; DIAGNOSTICS; 1ST-LINE; ASSAY
pub-1084	Docking studies on novel alkaloid tryptanthrin and its analogues against enoyl-acyl carrier protein reductase (InhA) of Mycobacterium tuberculosis	Isoniazid resistance is a serious threat in the battle against the treatment of multi-drug resistant tuberculosis (MDR-TB) and extremely drug-resistant tuberculosis (XDR-TB). Isoniazid is an inhibitor of enoyl-acyl carrier protein reductase (InhA) of Mycobacterium tuberculosis, which is an important and functional enzyme of the type II fatty acid synthesis system and important therapeutic target. Natural alkaloid tryptanthrin and its analogues have shown anti-tubercular activity against MDR-TB, but their cellular target is unknown. In this work, in silico molecular docking was performed using docking server in order to see the interaction of tryptanthrin and its 15 analogues with InhA of M. tuberculosis. Results showed that among tryptanthrin and its 15 analogues, tryptanthrin and its two analogues exhibited good affinity to the binding site of InhA with free binding energy of -7.94 kcal/mol and inhibition constant (Ki) of 1.50 mu m. Active site residues of InhA interacting with tryptanthrin were Ser13, Thr39, Phe41, Leu63, Asp64, Val65, Ile95, Phe97 and Ile122. In binding mode, polar bond were found between O1 (1) with Asp64 of bond length (3.34 angstrom) and hydrophobic bonds were found between Leu63 with C15 and C12, Val65 with C7, Val65 with C12 and C4, Ile95 with C6 and C7, Ile95 with C10, C12 and C14. Important pi-pi bonds were found between Phe41 with C2, C5, C7, C12, C4, C6, C8, C9, C13 and Phe97 with C9. These interactions indicated stability of tryptanthrin in active residue and suggested it as a potential drug candidate. Thus, good affinity of tryptanthrin to binding site of InhA may lead to synthesis of anti-tubercular drug capable of combating MDR strains of M. tuberculosis.	Mycobacterium tuberculosis; Enoyl acyl carrier protein reductase; Natural alkaloid; Tryptanthrin; Molecular docking	FATTY-ACID BIOSYNTHESIS; CELLS; TARGETS; SEARCH
